"","x"
"964","tm9sf1"
"965","dmrt2"
"966","rassf7"
"967","arpc5"
"968","grtp1"
"969","pparg"
"970","msra.1"
"971","gcc2"
"972","h2afy2"
"973","pla2g4a"
"974","abhd18"
"975","tmem205"
"976","ankrd39"
"977","col21a1"
"978","fam214a"
"979","cdh1"
"980","afg3l2"
"981","isl1"
"982","tsc22d2"
"983","ap1s1"
"984","rab19"
"985","man1b1"
"986","ddr1"
"987","klf9"
"988","kdf1"
"989","gfpt1"
"990","rtca"
"991","wfdc2"
"992","syn2"
"993","ssbp2"
"994","sema5b"
"995","mst1r"
"996","akr1c3"
"997","prrg4"
"998","wdr44"
"999","slc35b1"
"1000","hk2"
"1001","fbxl5"
"1002","ppic"
"1003","metap1d"
"1004","klhl13"
"1005","tm9sf4"
"1006","ube2j1"
"1007","tnfrsf6b"
"1008","chmp1a"
"1009","mest"
"1010","dtd2"
"1011","fbxo4"
"1012","ncoa2"
"1013","fn3k"
"1014","sash3"
"1015","reep6"
"1016","xylb"
"1017","fry"
"1018","hsd17b14"
"1019","rhbdl2"
"1020","ift80"
"1021","hivep2"
"1022","syap1"
"1023","nme2"
"1024","syt1"
"1025","uqcrc1"
"1026","uba1"
"1027","pitpna"
"1028","rab25"
"1029","skida1"
"1030","prkag1"
"1031","cast"
"1032","oat.1"
"1033","sri"
"1034","lipa"
"1035","nbr1"
"1036","dbt"
"1037","ankrd2"
"1038","adsl"
"1039","tmem63a"
"1040","arsk"
"1041","gucy1b1"
"1042","slc25a1"
"1043","dopey2"
"1044","bckdhb"
"1045","st3gal4"
"1046","tbc1d10a"
"1047","atp2a3"
"1048","tef"
"1049","zdhhc1"
"1050","mid1ip1"
"1051","tbc1d30"
"1052","rffl"
"1053","arrb1"
"1054","dnm2"
"1055","mamdc2"
"1056","arl3.1"
"1057","mxi1"
"1058","st14"
"1059","sh3bgrl2"
"1060","b3gnt2"
"1061","prr5"
"1062","crat.2"
"1063","wbp2nl"
"1064","prkch"
"1065","igfbp5"
"1066","tapt1"
"1067","scrn3"
"1068","scnm1"
"1069","ssh2"
"1070","chuk"
"1071","haao"
"1072","pcyt1a"
"1073","erlec1"
"1074","irak1bp1"
"1075","chst2"
"1076","slc4a11"
"1077","agfg1"
"1078","uaca"
"1079","oaz1"
"1080","fam3d"
"1081","bpi"
"1082","ndufaf2"
"1083","samhd1"
"1084","galk2"
"1085","tprg1"
"1086","cyp4b1.2"
"1087","ubl3"
"1088","gata3"
"1089","sucla2"
"1090","ift57"
"1091","rgs14"
"1092","pgm1"
"1093","pigf"
"1094","sptan1"
"1095","xrcc2"
"1096","trim16"
"1097","s100a11"
"1098","armt1"
"1099","pacsin3"
"1100","krtcap3"
"1101","coa6"
"1102","itsn2"
"1103","bbs5"
"1104","ift43"
"1105","lztfl1"
"1106","sytl1"
"1107","tspan13"
"1108","kazn"
"1109","cyp3a4"
"1110","twf2"
"1111","usp12"
"1112","pnpla4"
"1113","clint1"
"1114","calb1"
"1115","tmem220"
"1116","sdha"
"1117","twf1"
"1118","itga2b.1"
"1119","serpinb6"
"1120","pdha1"
"1121","clpx"
"1122","smdt1"
"1123","shank2"
"1124","poc5"
"1125","mfsd8"
"1126","b3gnt5"
"1127","rnf103"
"1128","vrk2"
"1129","taldo1"
"1130","mbnl2"
"1131","nol4l"
"1132","ndufs6"
"1133","arrdc1"
"1134","f2rl2"
"1135","zfp36"
"1136","smap1"
"1137","mfn2"
"1138","tspo"
"1139","ap2a2"
"1140","tubb4b"
"1141","elf1"
"1142","mpp5"
"1143","tmem56"
"1144","clic3"
"1145","txn2"
"1146","hbp1"
"1147","spint2"
"1148","ywhaq"
"1149","galt"
"1150","vps18"
"1151","atp5if1"
"1152","lrrc8b"
"1153","gca"
"1154","esrra"
"1155","ap3b2"
"1156","hadhb"
"1157","epgn"
"1158","atg3"
"1159","arpc1b"
"1160","actr3"
"1161","usp8"
"1162","mon2"
"1163","traf2"
"1164","kiaa0556"
"1165","snx14"
"1166","stat3.1"
"1167","ell2"
"1168","stx7"
"1169","dlst"
"1170","tnfaip3"
"1171","pdhx"
"1172","scel"
"1173","ctsa"
"1174","caprin2"
"1175","clcn3"
"1176","homer2"
"1177","rnft1"
"1178","gna14"
"1179","perp"
"1180","pak1"
"1181","slc25a3"
"1182","dcaf11"
"1183","zbtb18"
"1184","herc3"
"1185","narf"
"1186","cbr4"
"1187","ica1"
"1188","kcnk1"
"1189","pex19"
"1190","pof1b"
"1191","kiaa1324l"
"1192","rabggta"
"1193","cisd1"
"1194","daam1"
"1195","fam107b"
"1196","anxa11"
"1197","cant1"
"1198","mcu"
"1199","ppa1"
"1200","fpgt"
"1201","capn13"
"1202","cyc1"
"1203","fut3"
"1204","ppp2r5a"
"1205","chmp7"
"1206","sat2"
"1207","mgll"
"1208","fbxo7"
"1209","pfn1"
"1210","btbd9"
"1211","slc41a2"
"1212","tmem129"
"1213","mdh2"
"1214","lmbrd2"
"1215","rab11fip2"
"1216","sgpp2"
"1217","emp2"
"1218","klc1"
"1219","vdac3"
"1220","sytl5"
"1221","lamp1"
"1222","ttc39b"
"1223","myd88"
"1224","pgap3"
"1225","eci1"
"1226","ndufs1"
"1227","stk17a"
"1228","tnfaip8"
"1229","tirap"
"1230","ifit1b"
"1231","tmem199"
"1232","zfpl1"
"1233","fuk"
"1234","cgn"
"1235","cyhr1"
"1236","eipr1"
"1237","ednra"
"1238","dera"
"1239","c3orf52"
"1240","sgtb"
"1241","pnp"
"1242","dnajb2"
"1243","stk19"
"1244","nr6a1"
"1245","fam83h"
"1246","inpp1"
"1247","mmp1"
"1248","hic2"
"1249","sdhb"
"1250","ephb1"
"1251","micu1"
"1252","ipmk"
"1253","plekha7"
"1254","mpzl3"
"1255","stim1"
"1256","pfkp"
"1257","atp5mg"
"1258","cog7"
"1259","spryd4"
"1260","higd2a"
"1261","sptlc2"
"1262","serinc3"
"1263","ndufs2"
"1264","enpp2"
"1265","tmem45b"
"1266","hibadh"
"1267","trim3"
"1268","slc2a2"
"1269","dock9"
"1270","endod1"
"1271","pcbd1"
"1272","gpr157"
"1273","eml1"
"1274","gdpd1"
"1275","rraga"
"1276","slc31a2"
"1277","vps4b"
"1278","adcy9"
"1279","lgals8"
"1280","tdrd7"
"1281","trim23"
"1282","nfil3"
"1283","copg1"
"1284","tjp2"
"1285","mpv17l2"
"1286","arg2"
"1287","bcap31"
"1288","snx33"
"1289","gdi2"
"1290","atp6v0a1"
"1291","jak2"
"1292","chordc1"
"1293","me2"
"1294","upk1b"
"1295","usp6nl"
"1296","pik3r4"
"1297","mindy1"
"1298","gpa33"
"1299","rilpl1"
"1300","kctd14"
"1301","arl2"
"1302","stk11ip"
"1303","parp12"
