"","x"
"685","vcan"
"686","ypel2"
"687","pcdh20"
"688","pak3"
"689","miga1"
"690","ddah1"
"691","cldn5"
"692","nr6a1"
"693","gng13"
"694","f10"
"695","srf"
"696","tmem221"
"697","vegfa"
"698","cnot8"
"699","dcn"
"700","rdh11"
"701","parvb"
"702","oxr1"
"703","fam171a2"
"704","olfm3"
"705","bmp3"
"706","uaca"
"707","map2"
"708","pam"
"709","ube2d4"
"710","upb1"
"711","ankh"
"712","qsox1"
"713","ptprs"
"714","gjb2"
"715","app"
"716","nptn"
"717","acy1.1"
"718","sall2"
"719","pdgfa"
"720","aldob"
"721","palm"
"722","thy1"
"723","mreg"
"724","stat5b"
"725","foxp1"
"726","trim3"
"727","ets1"
"728","tpi1"
"729","has1"
"730","phc2"
"731","gpx7"
"732","ephx1"
"733","txnip"
"734","cyr61"
"735","dhh"
"736","epb41l4a"
"737","flrt3"
"738","dlc1"
"739","tgfbi"
"740","marcksl1"
"741","tox2"
"742","shh"
"743","ak1"
"744","mmp25"
"745","cbx4"
"746","st3gal3"
"747","kcnk5"
"748","mapre2"
"749","ca14"
"750","bloc1s3"
"751","fxr1"
"752","rhog"
"753","sgtb"
"754","pabpc4"
"755","schip1"
"756","fam214a"
"757","mrps2"
"758","nipal2"
"759","mogat1"
"760","ttyh2"
"761","cpeb4"
"762","lrp2"
"763","got1"
"764","prph"
"765","trim2"
"766","tmem169"
"767","cacfd1"
"768","cdon"
"769","basp1"
"770","pgm1"
"771","coq8a"
"772","znf238.2"
"773","loxl1"
"774","col1a1"
"775","lrrc19"
"776","tigar"
"777","timp2"
"778","agl"
"779","id4"
"780","mrpl11"
"781","gabbr1"
"782","vcl"
"783","hapln3"
"784","btbd6"
"785","fermt2"
"786","gnao1"
"787","sh3glb2"
"788","plpp3"
"789","epas1"
"790","ptprd"
"791","stom"
"792","alkbh6"
"793","nov"
"794","atp1b3"
"795","sertad2"
"796","irx2"
"797","pcdh18"
"798","cxcl8"
"799","stox2"
"800","susd6"
"801","ldhb"
"802","fitm2"
"803","pdgfra"
"804","plxna1"
"805","ptk2"
"806","etnppl"
"807","lap3"
"808","ccdc88a"
"809","atp1b1"
"810","cd37"
"811","dhx30"
"812","bdh2"
