"","x"
"867","bpgm"
"868","mt4"
"869","ush1c"
"870","cmpk1"
"871","entpd6"
"872","frrs1"
"873","adam7"
"874","bcdin3d"
"875","rpp30"
"876","abcg2"
"877","cnksr1"
"878","trappc9"
"879","pkp3"
"880","npdc1.1"
"881","hspa12b"
"882","upb1"
"883","fam46a"
"884","uhrf1bp1l"
"885","dcun1d2"
"886","ift46"
"887","il17ra"
"888","aldh16a1"
"889","fkbp1b"
"890","sptbn2"
"891","tmx4"
"892","fam102a"
"893","sh3yl1"
"894","gmppa"
"895","prkca"
"896","llgl2"
"897","ucma"
"898","rps6ka6"
"899","rubcnl"
"900","tob2"
"901","socs5"
"902","glud1"
"903","irf8"
"904","sptssa"
"905","rnasek"
"906","ifit5"
"907","wwc1"
"908","isoc2"
"909","pgap2"
"910","dsp"
"911","naxe"
"912","lxn"
"913","entpd3"
"914","nmral1"
"915","dnase1l3"
"916","coq7"
"917","tm9sf1"
"918","gmds"
"919","tfg"
"920","pgrmc1"
"921","ghr"
"922","cry2"
"923","tcaf1"
"924","auh"
"925","h2afy2"
"926","dynlt3"
"927","arpc5"
"928","ap1s1"
"929","cfap298"
"930","gjb7"
"931","elovl7"
"932","stx19"
"933","hspb11"
"934","pla2g4a"
"935","ddr1"
"936","tmem205"
"937","c1galt1c1"
"938","prkcz"
"939","kiaa1841"
"940","fam214a"
"941","ankrd39"
"942","man1b1"
"943","afg3l2"
"944","pdzd3"
"945","msra.1"
"946","epb41l4a"
"947","rab19"
"948","gcc2"
"949","rtca"
"950","dnase2"
"951","urgcp"
"952","rassf7"
"953","pqlc2"
"954","abhd18"
"955","tsc22d2"
"956","cdh1"
"957","pparg"
"958","mafb"
"959","syn2"
"960","fbxl5"
"961","chmp1a"
"962","klhl13"
"963","lipg"
"964","kdf1"
"965","slc35b1"
"966","wfdc2"
"967","tm9sf4"
"968","ube2j1"
"969","ncoa2"
"970","rtbdn"
"971","wdr44"
"972","gfpt1"
"973","parp11"
"974","uba1"
"975","dmrt2"
"976","glt1d1"
"977","uqcrc1"
"978","pitpna"
"979","isl1"
"980","nbr1"
"981","ssbp2"
"982","dbt"
"983","fbxo4"
"984","sema5b"
"985","col21a1"
"986","grtp1"
"987","nme2"
"988","ppic"
"989","bckdhb"
"990","tbxa2r"
"991","sri"
"992","syt1"
"993","lipa"
"994","akr1c3"
"995","syap1"
"996","tmem63a"
"997","tef"
"998","rab25"
"999","hivep2"
"1000","fry"
"1001","prrg4"
"1002","tnfrsf6b"
"1003","reep6"
"1004","adsl"
"1005","slc25a1"
"1006","prkag1"
"1007","mid1ip1"
"1008","rffl"
"1009","dtd2"
"1010","klf9"
"1011","ankrd2"
"1012","cast"
"1013","dnm2"
"1014","ift80"
"1015","fn3k"
"1016","gucy1b1"
"1017","tbc1d10a"
"1018","arrb1"
"1019","agfg1"
"1020","slc4a11"
"1021","chuk"
"1022","scrn3"
"1023","tapt1"
"1024","sh3bgrl2"
"1025","mst1r"
"1026","st3gal4"
"1027","crat.2"
"1028","mest"
"1029","oat.1"
"1030","erlec1"
"1031","metap1d"
"1032","uaca"
"1033","oaz1"
"1034","zdhhc1"
"1035","ndufaf2"
"1036","atp2a3"
"1037","tbc1d30"
"1038","wbp2nl"
"1039","galk2"
"1040","sucla2"
"1041","arl3.1"
"1042","b3gnt2"
"1043","fam3d"
"1044","pcyt1a"
"1045","prkch"
"1046","hsd17b14"
"1047","bpi"
"1048","hk2"
"1049","st14"
"1050","faim"
"1051","arsk"
"1052","cyp4b1.2"
"1053","ift57"
"1054","chst2"
"1055","rhbdl2"
"1056","trim16"
"1057","sptan1"
"1058","dopey2"
"1059","xrcc2"
"1060","xylb"
"1061","pigf"
"1062","ubl3"
"1063","mxi1"
"1064","haao"
"1065","gata2"
"1066","tprg1"
"1067","pdha1"
"1068","tspan13"
"1069","rgs14"
"1070","kazn"
"1071","clpx"
"1072","sdha"
"1073","prr5"
"1074","itsn2"
"1075","krtcap3"
"1076","sash3"
"1077","ift43"
"1078","armt1"
"1079","smdt1"
"1080","sytl1"
"1081","cyp3a4"
"1082","plcxd2"
"1083","coa6"
"1084","ssh2"
"1085","skida1"
"1086","serpinb6"
"1087","gata3"
"1088","twf1"
"1089","tmem220"
"1090","ndufs6"
"1091","b3gnt5"
"1092","twf2"
"1093","bbs5"
"1094","lztfl1"
"1095","poc5"
"1096","rnf103"
"1097","tmem56"
"1098","spint2"
"1099","usp12"
"1100","pacsin3"
"1101","samhd1"
"1102","irak1bp1"
"1103","arrdc1"
"1104","tubb4b"
"1105","nol4l"
"1106","smap1"
"1107","mfsd8"
"1108","clic3"
"1109","taldo1"
"1110","pdlim3"
"1111","txn2"
"1112","mamdc2"
"1113","atp5if1"
"1114","clint1"
"1115","s100a11"
"1116","hadhb"
"1117","tspo"
"1118","f2rl2"
"1119","atg3"
"1120","gca"
"1121","zfp36"
"1122","mfn2"
"1123","ywhaq"
"1124","vrk2"
"1125","mon2"
"1126","hbp1"
"1127","stx7"
"1128","mbnl2"
"1129","vps18"
"1130","esrra"
"1131","dlst"
"1132","ap2a2"
"1133","galt"
"1134","actr3"
"1135","arpc1b"
"1136","snx14"
"1137","mpp5"
"1138","pgm1"
"1139","ctsa"
"1140","stat3.1"
"1141","igfbp5"
"1142","usp8"
"1143","elf1"
"1144","pdhx"
"1145","lrrc8b"
"1146","ell2"
"1147","calb1"
"1148","scnm1"
"1149","rnft1"
"1150","traf2"
"1151","slc25a3"
"1152","dcaf11"
"1153","anxa11"
"1154","narf"
"1155","perp"
"1156","clcn3"
"1157","scel"
"1158","rabggta"
"1159","itga2b.1"
"1160","ica1"
"1161","bnip1"
"1162","ap3b2"
"1163","kcnk1"
"1164","herc3"
"1165","cyc1"
"1166","epgn"
"1167","tnfaip3"
"1168","fut3"
"1169","fpgt"
"1170","mcu"
"1171","ppp2r5a"
"1172","fam107b"
"1173","shank2"
"1174","cisd1"
"1175","slc41a2"
"1176","vdac3"
"1177","cant1"
"1178","mgll"
"1179","kiaa0556"
"1180","daam1"
"1181","pof1b"
"1182","gna14"
"1183","chmp7"
"1184","mdh2"
"1185","sat2"
"1186","capn13"
"1187","klc1"
"1188","ndufs1"
"1189","ppa1"
"1190","kiaa1324l"
"1191","cbr4"
"1192","fbxo7"
"1193","rab11fip2"
"1194","eci1"
"1195","dera"
"1196","lmbrd2"
"1197","pak1"
"1198","pgap3"
"1199","cgn"
"1200","tmem199"
"1201","emp2"
"1202","sdhb"
"1203","myd88"
"1204","c3orf52"
"1205","lamp1"
"1206","fuk"
"1207","tmem129"
"1208","tirap"
"1209","sgpp2"
"1210","mpzl3"
"1211","atp5mg"
"1212","eipr1"
"1213","cyhr1"
"1214","inpp1"
"1215","zbtb18"
"1216","pfn1"
"1217","cog7"
"1218","homer2"
"1219","stk17a"
"1220","ndufs2"
"1221","pex19"
"1222","serinc3"
"1223","tnfaip8"
"1224","fam83h"
"1225","caprin2"
"1226","pnp"
"1227","stim1"
"1228","plekha7"
"1229","dnajb2"
"1230","zfpl1"
"1231","higd2a"
"1232","sgtb"
"1233","sptlc2"
"1234","hibadh"
"1235","endod1"
"1236","btbd9"
"1237","gpr157"
"1238","ednra"
"1239","enpp2"
"1240","sytl5"
"1241","rraga"
"1242","tmem45b"
"1243","trim3"
"1244","ephb1"
"1245","copg1"
"1246","slc2a2"
"1247","dock9"
"1248","tjp2"
"1249","mmp1"
"1250","hic2"
"1251","vps4b"
"1252","ipmk"
"1253","gdi2"
"1254","bcap31"
"1255","pfkp"
"1256","adcy9"
"1257","ttc39b"
"1258","gdpd1"
"1259","lgals8"
"1260","micu1"
"1261","slc31a2"
"1262","snx33"
"1263","tdrd7"
"1264","jak2"
"1265","nr6a1"
"1266","stk19"
"1267","ifit1b"
