"","x"
"917","cenpa"
"918","npm3"
"919","vegfa"
"920","tnni1.2"
"921","recql4"
"922","mms22l"
"923","loxl2"
"924","e2f3"
"925","znf276"
"926","ahdc1"
"927","pak3"
"928","ptma"
"929","e2f1"
"930","pole2"
"931","prelid3a"
"932","aplp1"
"933","rhoj"
"934","serpinb1"
"935","neil3"
"936","prc1.2"
"937","gemin2"
"938","sumo2"
"939","parp1"
"940","cdca5"
"941","ski"
"942","e2f8"
"943","serpini1"
"944","sufu"
"945","nup35"
"946","cebpd"
"947","lmo4.1"
"948","gprc5a"
"949","ccnb3"
"950","aqp2"
"951","mcoln1"
"952","kif2c"
"953","plk1"
"954","sgo1"
"955","rgs3"
"956","stk4"
"957","tyw3"
"958","nup37"
"959","peli1"
"960","slit2"
"961","washc3"
"962","dcxr"
"963","ilf3"
"964","tmpo"
"965","ckb"
"966","qrich1.2"
"967","abhd3"
"968","arhgap19"
"969","blm"
"970","cenpm"
"971","cad"
"972","fam98a"
"973","rock2"
"974","eif4a2"
"975","jade2"
"976","f7"
"977","ube2e2"
"978","ephb3"
"979","mkrn3"
"980","mapkapk3"
"981","ssb"
"982","mid1"
"983","prps1"
"984","rrnad1"
"985","mmachc"
"986","nfyb"
"987","crim1"
"988","c21orf91"
"989","smc4"
"990","exosc2"
"991","trim28"
"992","bard1"
"993","haus7"
"994","hdgf"
"995","cenps"
"996","psmc3ip"
"997","arhgap29"
"998","hoxa2"
"999","fos"
"1000","elavl1"
"1001","ndc80"
"1002","mcm9"
"1003","pdik1l"
"1004","fut8"
"1005","mcm8"
"1006","nup155"
"1007","tgfb1i1"
"1008","fbxl15"
"1009","ccne1"
"1010","baz1b"
"1011","bcl7a"
"1012","col9a2"
"1013","ddx39a"
"1014","slc20a1"
"1015","polr2k"
"1016","rsf1"
"1017","haus8"
"1018","pou2f1"
"1019","ctps1"
"1020","polr1d.2"
"1021","parpbp"
"1022","polr1e"
"1023","pfkm"
"1024","rasa3"
"1025","wdr43"
"1026","egr1"
"1027","pabpn1"
"1028","parvb"
"1029","eri2"
"1030","hnrnpa0"
"1031","snrpd1"
"1032","tnfrsf12a"
"1033","ppard"
"1034","lig1"
"1035","mecp2"
"1036","mxra7"
"1037","bmp1"
"1038","cuedc1"
"1039","dna2"
"1040","snrnp40"
"1041","rab29"
"1042","aplp2"
"1043","tktl2"
"1044","snrpa1"
"1045","u2af1"
"1046","tsc22d3"
"1047","nucks1"
"1048","ube2s"
"1049","pak1ip1"
"1050","dis3l"
"1051","g3bp1"
"1052","dock7"
"1053","mapkbp1"
"1054","ddx46"
"1055","melk"
"1056","cfh"
"1057","kif11"
"1058","dusp5"
"1059","egln3"
"1060","nop58"
"1061","hpca"
"1062","tox2"
"1063","slc7a8"
"1064","ext1"
"1065","dcaf10"
"1066","sfr1"
"1067","afap1l2"
"1068","pold1"
"1069","ezh2"
"1070","wbp4"
"1071","scpep1"
"1072","aurka"
"1073","orc2"
"1074","srsf1"
"1075","vsir"
"1076","rnf220.1"
"1077","cetn3"
"1078","eif1"
"1079","net1"
"1080","trmt2a"
"1081","h3f3b"
"1082","cdca8"
"1083","arl6ip4"
"1084","dusp4"
"1085","ebpl"
"1086","yaf2"
"1087","mex3c"
"1088","nusap1"
"1089","cep192"
"1090","srm"
"1091","ngdn"
"1092","ash2l"
"1093","nono"
"1094","rcc2"
"1095","cyb5r2"
"1096","pop5"
"1097","foxo4"
"1098","znf653"
"1099","snrpg"
"1100","tp53bp1"
"1101","sestd1"
"1102","nrg1"
"1103","fmr1"
"1104","asf1b"
"1105","ttf2"
"1106","dapk1"
"1107","klhl32"
"1108","tacc3"
"1109","polr2d"
"1110","dzip1"
"1111","ca14"
"1112","mob2.2"
"1113","supt16h"
"1114","med19"
"1115","exd2"
"1116","rapgef1"
"1117","cpe"
"1118","pspc1"
"1119","anapc11"
"1120","lrch4"
"1121","ccser2"
"1122","akap2"
"1123","yap1"
"1124","rhou"
"1125","igf1r"
"1126","gdi1"
"1127","pole3"
"1128","nfya"
"1129","decr2"
"1130","poc1a"
